unique_customer_id,Recency,Frequency,Monetary
CARD_AMEX_2784,5,15,175.96
CARD_VISA_9855,1,17,175.17000000000002
CARD_VISA_9878,2,12,174.92000000000002
CARD_VISA_5899,1,11,173.44
CARD_AMEX_1026,9,14,173.17
LOYALTY_fba46c2a-8e99-4bf1-a484-cca85bd4d213,7,11,172.92
CARD_VISA_2796,8,17,172.36
LOYALTY_da8c78c4-861f-43d8-8350-382619521500,7,9,172.26000000000002
LOYALTY_050a89c3-5215-4f9b-bd95-e4e34b1019a7,53,8,171.55
LOYALTY_108528ce-f927-4aff-8bc3-6b11a9111831,58,7,171.42000000000002
CARD_VISA_6794,20,7,170.95
CARD_VISA_6690,7,10,170.32
CARD_AMEX_1020,9,14,169.92
CARD_VISA_0362,3,13,167.77
CARD_DISCOVER_6177,29,11,166.79
CARD_VISA_3484,14,14,166.78
CARD_VISA_4523,12,11,166.72
CARD_VISA_4912,90,6,166.39000000000001
CARD_VISA_3518,2,21,166.19
CARD_VISA_2480,14,8,165.16
LOYALTY_7d3b17e3-35b3-47d0-9c8d-96cdc621dd16,36,8,164.8
CARD_MASTERCARD_9379,2,19,164.77
LOYALTY_574ca993-44dc-46b7-8505-c4cf683733bd,21,5,164.39
CARD_AMEX_4009,27,5,163.84
CARD_VISA_4204,2,13,163.24
CARD_VISA_8253,28,11,163.07999999999998
CARD_VISA_9035,11,14,163.03
LOYALTY_cb777708-a96d-44ea-bf81-3ce08184d831,1,12,162.96
LOYALTY_b4b2658e-7694-4fe1-92dc-8760a279cdc5,4,18,162.19
LOYALTY_549c80cd-02cb-4b49-a3e0-8f9bbb0b4c09,14,3,162.06
CARD_VISA_0132,42,5,160.70000000000002
LOYALTY_8172ce71-91f5-44e0-b0dd-bb5e27bb27aa,5,14,160.46
LOYALTY_cf16ab45-38f3-4440-9ba8-c141bc2f6a81,27,4,160.36
LOYALTY_22da0e32-4d34-463a-ba03-923270ee27ed,87,13,159.97
CARD_VISA_2261,24,18,159.89
LOYALTY_5f55cee7-f809-4394-a757-27ef5e8f3190,8,6,158.88
CARD_AMEX_1010,2,11,158.73000000000002
CARD_VISA_3845,19,7,158.45
CARD_VISA_2922,20,2,158.41
CARD_VISA_0851,57,15,158.28
CARD_VISA_6925,19,9,158.28
LOYALTY_e5824694-c3c9-43e7-a334-81ec1f437c53,5,11,156.89
CARD_VISA_9123,22,6,155.75
CARD_VISA_2069,7,16,155.69
LOYALTY_9d36d527-6ddd-4ed5-81b8-b82f34a39bbe,4,19,154.9
CARD_MASTERCARD_1635,25,13,154.86
LOYALTY_e3d6af44-9acd-4ec1-8329-bee3c22c9eab,3,13,154.32
LOYALTY_3fb76a70-451e-4b55-a9fe-62482012a199,60,2,153.85
CARD_MASTERCARD_6045,46,8,153.48000000000002
CARD_MASTERCARD_0687,53,7,153.12
CARD_VISA_6612,72,2,152.93
CARD_VISA_3076,19,5,152.9
CARD_AMEX_3216,82,3,152.78
CARD_AMEX_3004,9,9,152.15
CARD_AMEX_4006,23,9,151.75
CARD_VISA_1834,40,7,151.63
LOYALTY_6b0a03d9-5a5a-494e-a38e-7f1103c31be4,4,4,151.49
LOYALTY_1437c464-2680-4a0e-bfae-2445fef217fc,1,10,150.26
CARD_VISA_4796,2,9,149.8
CARD_VISA_1403,19,6,149.75
LOYALTY_9e6702da-28cc-483e-826e-9a01b6eaf1b5,12,13,149.72
CARD_AMEX_3009,2,8,148.73
CARD_VISA_2172,6,10,148.62
LOYALTY_232947e1-930a-48a3-94a0-d2afad7b8b19,41,4,148.31
CARD_VISA_4937,61,4,148.04000000000002
LOYALTY_de0afdd8-509c-4499-9a58-ab785c8ebf82,49,9,147.99
LOYALTY_e1f4ac89-a783-4c10-a395-48264869aed1,3,14,147.69
CARD_VISA_0779,1,9,147.37
CARD_VISA_2615,2,11,147.04
GUID_a5fd0310-52c4-47c8-a9bb-b77ef41c6b5b,30,1,146.81
CARD_VISA_2690,2,3,146.69
LOYALTY_6da028b7-e58b-4b07-a568-c3cb4326f635,3,13,145.85
CARD_VISA_4284,22,7,145.32
CARD_VISA_9018,6,11,144.85
CARD_VISA_4538,7,7,144.07999999999998
LOYALTY_bd428780-b463-41d7-b588-f85568cdb8c0,5,19,142.88
CARD_VISA_4797,42,8,142.73
LOYALTY_e565d006-cca1-40e1-9c34-5d8a0f14b36f,35,5,142.37
CARD_AMEX_5007,5,5,142.01
CARD_VISA_3866,28,6,141.44
CARD_VISA_1560,15,4,141.36
CARD_MASTERCARD_2953,16,14,141.32
CARD_AMEX_7994,69,4,141.28
CARD_DISCOVER_4501,7,1,140.81
CARD_VISA_5465,15,4,140.29
CARD_VISA_2634,44,9,140.06
CARD_VISA_2585,2,8,138.78
CARD_VISA_7272,17,6,138.43
CARD_VISA_8893,19,12,137.8
LOYALTY_b5146283-012f-47dc-8c0d-29ec50f00365,2,10,137.59
LOYALTY_ea1a7d05-029d-4f1b-b183-a62fdb6b8424,32,4,136.26
CARD_VISA_7906,16,5,135.81
CARD_MASTERCARD_3529,41,9,135.76000000000002
CARD_VISA_8147,66,8,135.61
CARD_VISA_5764,3,7,135.4
CARD_VISA_8416,40,5,134.83
CARD_MASTERCARD_4488,31,7,134.64
CARD_VISA_7903,4,15,134.19
CARD_VISA_2152,59,7,133.73
CARD_VISA_2678,27,11,133.11
CARD_VISA_5850,58,6,132.87
CARD_VISA_0181,6,11,132.74
CARD_VISA_3574,71,7,132.66
CARD_VISA_1163,14,15,132.27
LOYALTY_dd4248c9-4023-45fa-8378-802dd634f145,11,13,132.25
CARD_AMEX_3219,35,8,131.92000000000002
CARD_VISA_0492,13,7,131.85
CARD_AMEX_8984,21,9,131.29
CARD_VISA_8546,3,8,130.45
CARD_AMEX_6653,13,15,129.9
LOYALTY_4f22fff6-f739-473c-ba17-3f52602321c8,19,8,129.57
CARD_AMEX_1016,60,10,129.49
LOYALTY_76b4c0d7-5877-4f21-800a-309986285835,13,11,129.41
CARD_VISA_1044,96,7,129.3
CARD_VISA_3090,15,11,129.29
CARD_VISA_7015,6,5,129.23
LOYALTY_c05d91f1-220f-4a13-8463-db445c5be12a,41,3,129.15
CARD_VISA_0316,5,7,129.11
GUID_70f61cbc-ab33-471a-be82-e597ebe3ca7e,57,1,128.35
LOYALTY_c11e6e4e-ff36-45e3-9760-d3ad45c42724,9,5,128.34
CARD_VISA_0902,4,10,128.32
LOYALTY_7dba24e3-c601-49bc-aa68-2150d29b10dc,5,15,128.27
LOYALTY_f64f0e17-88f9-4a6d-9f75-3caedaac58c9,9,8,128.24
CARD_VISA_5351,6,4,127.97
CARD_AMEX_1019,6,7,127.51999999999998
CARD_VISA_0430,3,11,127.49000000000001
CARD_VISA_4778,1,10,127.22
LOYALTY_62babd56-ff1e-40af-a087-4ce6b724ab00,47,6,126.41999999999999
LOYALTY_6d9e070a-7b55-4e0b-9aed-3d8a7e3b2e35,13,1,126.03
CARD_VISA_5809,14,3,125.86
CARD_VISA_2553,17,5,125.74000000000001
CARD_VISA_3318,24,9,125.73
CARD_VISA_2483,68,12,125.11
CARD_VISA_1910,7,11,125.07
CARD_MASTERCARD_1201,19,1,125.0
LOYALTY_ae395d96-2538-488f-acff-8b8b6987f77a,13,11,124.54
LOYALTY_d2221dd0-72e8-41d0-b1f9-a1f759d8298f,104,3,124.44
LOYALTY_04a0eaa0-c69a-48a8-86b6-1e9c1eb9ca2a,34,10,124.25999999999999
CARD_VISA_5179,19,4,123.67
CARD_VISA_4380,31,13,123.58
LOYALTY_93009ff8-587d-4c84-9bbd-5ec2a6fbee19,7,8,123.56
CARD_VISA_6918,6,14,123.51
CARD_VISA_0256,48,5,123.5
CARD_VISA_2304,9,3,123.28
CARD_VISA_5014,4,14,123.02
CARD_VISA_5234,80,7,122.99000000000001
CARD_VISA_9566,20,4,122.96000000000001
LOYALTY_3d02c525-9454-474e-8178-fcbedbe54bb5,8,8,122.66999999999999
LOYALTY_dd46c653-c684-43a1-b35c-c704a296d8d8,14,4,122.59
CARD_VISA_2353,2,10,122.24
CARD_MASTERCARD_9505,9,4,121.84
CARD_AMEX_5227,78,4,121.78
LOYALTY_3f01c11a-9c35-499c-b2cd-38ec1ccb5d41,3,18,121.44
CARD_DISCOVER_5735,11,5,121.41
LOYALTY_0c2b442a-de7d-462c-81f2-c1215aa17461,13,13,121.39
CARD_MASTERCARD_3411,13,8,120.82
CARD_VISA_9128,3,14,119.94
CARD_VISA_3989,15,13,119.34
CARD_VISA_3591,14,11,119.32000000000001
CARD_VISA_2293,6,10,119.05
CARD_VISA_5460,20,6,118.96
CARD_VISA_8425,3,12,118.43
LOYALTY_2ec2ee44-477b-43e4-acc8-a8a6d8553041,20,5,118.38000000000001
CARD_VISA_1188,66,4,118.3
CARD_AMEX_1025,2,5,118.16
CARD_VISA_4123,73,5,118.11000000000001
LOYALTY_29480f1c-e684-4cc4-9166-48bfa9744887,1,13,118.03
CARD_VISA_3979,79,2,117.74
LOYALTY_1946f613-0cf6-40db-983e-4ee9a723888b,55,3,117.64
CARD_AMEX_3005,4,10,117.56
CARD_VISA_1454,6,5,117.44999999999999
CARD_VISA_9320,48,3,117.38
LOYALTY_a8b49486-8604-47bc-966f-dfe9d4de1fb1,14,9,117.26
CARD_MASTERCARD_7731,15,6,117.09
CARD_VISA_9857,3,4,117.05000000000001
CARD_VISA_8881,14,4,116.96
CARD_MASTERCARD_7702,1,9,116.92
LOYALTY_7484b565-b7a8-4d85-9758-ce861dd9a7a2,77,3,116.91
LOYALTY_33499a06-f315-4459-8288-a30031f57550,2,3,116.9
CARD_VISA_9986,16,6,116.63
CARD_VISA_8699,52,5,116.39
LOYALTY_bc799efe-9c12-46c8-94ff-8865e6015506,93,5,116.38999999999999
CARD_VISA_1493,6,9,116.34
CARD_VISA_6423,46,3,116.05
CARD_VISA_9631,5,5,115.97
CARD_VISA_7173,23,5,115.64
LOYALTY_bb442599-822d-41fc-9f09-eb6d9c0c908d,32,4,115.59
CARD_AMEX_1523,5,11,115.38000000000001
CARD_VISA_0842,13,9,115.24000000000001
CARD_VISA_0820,25,5,115.17
CARD_VISA_6105,3,6,114.9
CARD_VISA_0811,50,12,114.89
LOYALTY_380d87fd-be96-4f9c-91a0-fcb32154ecb2,33,8,114.8
CARD_VISA_5651,9,10,114.78
CARD_MASTERCARD_1029,14,4,114.7
LOYALTY_b08711f2-9859-4099-9e75-9f7711478274,64,6,114.3
CARD_AMEX_3008,8,11,114.15
CARD_VISA_7590,31,5,114.07000000000001
CARD_VISA_8090,50,8,114.05
CARD_AMEX_5404,20,3,113.84
CARD_AMEX_2006,19,9,113.76
LOYALTY_31f8a7d9-6162-434e-8fd3-9a5837d40cad,2,8,113.74000000000001
CARD_VISA_5816,13,5,113.74
CARD_VISA_6811,7,5,113.36
LOYALTY_92dd725c-167e-47a8-b65a-fc04190cbf38,100,2,113.11
CARD_VISA_9400,2,6,112.88
LOYALTY_23dde2b3-650f-4314-8835-1975907606a6,58,3,112.72
CARD_MASTERCARD_5290,50,4,112.57
CARD_VISA_9246,7,7,112.38
CARD_MASTERCARD_2024,6,6,112.35999999999999
CARD_MASTERCARD_8399,3,10,112.35000000000001
CARD_AMEX_3549,34,7,112.33
LOYALTY_66b36c24-3296-4cd7-b47e-db2343cd2586,12,11,112.11
CARD_VISA_9479,25,6,111.95
CARD_VISA_5698,14,3,111.94
CARD_MASTERCARD_5315,5,7,111.74000000000001
LOYALTY_c3190c95-8cce-441a-8e0d-14f747e9675c,48,3,111.72
LOYALTY_a8dbd8ba-305a-42fd-99b7-59757ce34053,34,3,111.44
CARD_VISA_0016,4,6,111.41
CARD_VISA_0102,15,10,111.28999999999999
CARD_VISA_1318,1,4,110.77000000000001
CARD_VISA_3421,35,11,110.65
LOYALTY_b528ea15-be87-4c91-9762-ab2ac26006c4,29,4,110.60000000000001
CARD_DISCOVER_4613,4,10,110.56
CARD_DISCOVER_3555,82,9,110.22
CARD_DISCOVER_7084,27,4,110.18
LOYALTY_4b14ce7c-85d6-4646-86b5-7561a4b4210c,94,10,110.12
LOYALTY_d237cad2-32ee-45da-a74c-8cda947566c4,63,1,110.02
LOYALTY_755dbd5c-56ab-467f-846b-d40b15940926,6,8,109.98
CARD_VISA_1953,11,5,109.91
CARD_VISA_4628,1,4,109.80000000000001
CARD_VISA_7318,9,6,109.79
CARD_VISA_0029,27,6,109.77
CARD_VISA_5147,46,10,109.71000000000001
CARD_VISA_6731,5,5,109.64
CARD_MASTERCARD_2243,8,9,109.58
CARD_MASTERCARD_2773,3,12,109.22
CARD_MASTERCARD_8154,7,5,109.13
CARD_VISA_8543,34,6,109.02
CARD_VISA_7527,106,5,108.57
CARD_VISA_4536,6,8,108.39
LOYALTY_001c5443-5dcc-4f19-b826-42b4bebf3781,21,8,108.21000000000001
CARD_VISA_0931,81,5,108.14
CARD_VISA_1125,18,12,108.07000000000001
LOYALTY_26582617-58bc-4409-b4ed-e1a9ba3cb375,9,9,107.99
CARD_VISA_7228,4,3,107.98
CARD_VISA_4944,37,3,107.96000000000001
LOYALTY_5bf5f273-d417-4e66-9d12-7a87f602462d,28,3,107.77
LOYALTY_29256fea-40da-4b60-b84d-aad88a5702bd,27,6,107.39
LOYALTY_bd25a583-1396-4ab0-8ac3-6cbbfc1ce609,27,5,107.27
CARD_VISA_9405,5,8,107.2
CARD_VISA_2539,4,9,107.08
LOYALTY_9167b59c-d4af-4b39-8233-eb1be66c5076,6,8,107.04
CARD_VISA_0893,43,4,107.00999999999999
CARD_AMEX_6003,48,3,106.69
CARD_AMEX_4005,10,4,106.62
LOYALTY_51c373d2-d96f-4145-84e9-a57c480a45bc,30,3,106.58000000000001
CARD_MASTERCARD_3527,1,12,106.56
CARD_VISA_4977,23,7,106.37
CARD_VISA_7191,43,8,106.34
LOYALTY_3b54c821-1541-4e61-ab91-ad5f802e66a6,10,7,106.34
CARD_VISA_9256,19,5,106.33
LOYALTY_1ec222f1-20da-493b-8278-85d232888673,1,7,106.31
CARD_MASTERCARD_7732,23,6,106.24
LOYALTY_3ac04782-89bc-4e5d-88b6-3abdb4025346,38,1,106.01
CARD_VISA_2672,6,6,105.97
CARD_MASTERCARD_4624,53,2,105.96000000000001
CARD_VISA_2853,42,2,105.92999999999999
LOYALTY_ae23ca0e-dae9-40a8-a847-455644e37eae,6,7,105.77000000000001
LOYALTY_57c9836c-d1b5-40e9-b01e-25eeb1671cd4,9,6,105.71000000000001
LOYALTY_0d5ec82f-5fef-4830-92e9-da8c6aa5d760,13,4,105.61
LOYALTY_19609c2d-eebd-4cc6-abbf-e6cae3cbd850,42,5,105.57
CARD_VISA_4335,1,9,105.45
LOYALTY_8d2fb24a-be75-4cb6-affa-dec35084a6ec,14,4,105.44
LOYALTY_e3e0acf3-55a3-4a72-b87a-36854f573bab,2,9,105.21
CARD_VISA_0099,4,9,105.06
CARD_AMEX_4534,13,1,104.99
CARD_AMEX_3001,48,8,104.68
CARD_VISA_7168,52,5,104.64
CARD_AMEX_1450,27,10,104.56
CARD_DISCOVER_3072,62,1,104.51
LOYALTY_b726f636-65e9-4b0d-a8c3-3feeddffd878,19,6,104.42
CARD_VISA_2919,3,6,104.33
CARD_AMEX_7874,33,6,104.32
CARD_AMEX_5000,32,9,104.26
CARD_VISA_8040,9,5,104.25
CARD_VISA_3017,33,3,104.17999999999999
LOYALTY_621c626c-b295-401e-bc9d-f6588b7e1aa6,4,7,104.15
LOYALTY_f734ca85-90ee-4dce-a4a7-972d0a6ff010,14,5,104.06
CARD_VISA_7273,2,9,104.0
CARD_AMEX_3006,6,10,103.89
CARD_DISCOVER_0144,85,3,103.85
LOYALTY_019cfa2b-05b9-42dc-acc3-f529754bf256,57,3,103.6
CARD_VISA_3293,33,4,103.55
CARD_VISA_3023,69,6,103.34
CARD_VISA_7750,16,12,103.31
LOYALTY_e0fc7b5f-29a9-4cfc-8415-b35cfa08fa32,4,11,103.3
LOYALTY_e9a813d9-9a88-484b-b5e8-7e591d1d467e,59,7,103.23
CARD_MASTERCARD_6614,5,6,103.15
CARD_AMEX_5103,3,8,103.04
CARD_VISA_8476,85,6,103.0
CARD_VISA_8156,18,8,102.97
CARD_VISA_6316,15,4,102.95
LOYALTY_031e64f3-dd30-4b55-8846-dd46b6c84dd7,35,9,102.91
CARD_AMEX_1018,33,9,102.9
CARD_MASTERCARD_4959,7,7,102.88000000000001
CARD_VISA_0215,4,8,102.83
CARD_VISA_4916,31,6,102.78999999999999
CARD_VISA_5483,37,8,102.74000000000001
LOYALTY_b36f7f0a-ef50-476d-b792-7a0fa11fc9d9,67,5,102.58
CARD_VISA_9547,4,10,102.45
CARD_VISA_2793,22,8,102.22
LOYALTY_477b6bbb-333c-4bed-9491-e218e40f0a11,34,2,102.16
CARD_VISA_5134,27,4,101.98
LOYALTY_a963a0af-f323-4b4e-8a80-e577173d2a8f,41,2,101.94000000000001
CARD_AMEX_3537,4,9,101.85
CARD_AMEX_9696,83,2,101.76
LOYALTY_4ff4539a-f153-4314-810e-8ee6dca8778f,2,12,101.61
LOYALTY_1d6249aa-8d27-49e2-88a5-ad981ae7f40b,23,6,101.58
CARD_VISA_2335,13,7,101.45
CARD_VISA_5472,30,4,101.41
CARD_VISA_0245,22,2,101.38
CARD_VISA_1503,27,11,100.65
CARD_VISA_7895,11,3,100.56
CARD_VISA_9693,5,6,100.43
LOYALTY_a617057b-8a4b-4ecb-8337-277a8e635562,5,10,100.4
CARD_VISA_5914,14,4,100.34
CARD_VISA_9681,33,7,100.33
CARD_VISA_1997,13,8,100.15
CARD_VISA_1294,99,4,100.00999999999999
CARD_VISA_2531,11,6,99.97
LOYALTY_152d8154-1811-43fa-aa7a-3cf92d29c589,18,10,99.72
CARD_VISA_2941,10,9,99.71000000000001
CARD_VISA_5003,13,6,99.7
CARD_VISA_3974,9,5,99.44999999999999
CARD_MASTERCARD_1187,82,2,99.43
CARD_VISA_6032,11,10,99.37
CARD_VISA_3642,3,6,99.18
CARD_VISA_8491,93,9,99.02000000000001
LOYALTY_214388c0-e3a2-4f9e-a288-9b6f7b0f040e,28,7,99.01
CARD_VISA_7584,2,7,98.92
CARD_MASTERCARD_4801,71,5,98.91
CARD_VISA_0827,47,5,98.84
CARD_VISA_6845,10,8,98.77
CARD_VISA_1957,8,6,98.28
CARD_MASTERCARD_0252,6,3,98.25
CARD_VISA_7041,4,11,98.06
CARD_VISA_5970,65,10,97.92
LOYALTY_89c520ff-f06a-4f49-bd85-7fe73a5305c6,3,8,97.86
CARD_MASTERCARD_2342,4,6,97.83
CARD_VISA_5605,3,4,97.8
CARD_MASTERCARD_7600,73,8,97.64
CARD_VISA_8637,21,9,97.63
CARD_VISA_9250,17,6,97.58
CARD_VISA_4240,9,12,97.56
CARD_VISA_6055,24,7,97.46
CARD_VISA_0769,41,4,97.35
LOYALTY_bd2f282e-c86b-4643-b772-ab3b6178a2ac,43,8,97.32000000000001
CARD_VISA_8694,16,4,97.25999999999999
CARD_MASTERCARD_4826,64,3,97.22
CARD_VISA_0765,65,2,97.10000000000001
CARD_MASTERCARD_5127,5,9,97.04
CARD_VISA_4537,4,12,96.73
CARD_VISA_3309,6,5,96.67999999999999
CARD_VISA_4082,53,3,96.59
LOYALTY_29bf1d7d-1c4b-4966-bd9c-7ce9812ad063,13,9,96.21000000000001
CARD_DISCOVER_6229,1,9,95.84
LOYALTY_b1b64d2d-e212-4242-a246-96d6ec5038c4,8,3,95.81
CARD_MASTERCARD_3012,48,3,95.8
CARD_VISA_7855,70,3,95.57
CARD_VISA_2167,6,5,95.55
CARD_DISCOVER_3014,10,11,95.39
CARD_VISA_6909,74,2,95.27
CARD_VISA_7105,33,6,95.17
CARD_VISA_3865,16,5,95.11
CARD_AMEX_1017,27,6,95.03
CARD_MASTERCARD_5693,30,9,95.00999999999999
CARD_VISA_2493,16,6,94.92
CARD_AMEX_0997,1,19,94.86
CARD_MASTERCARD_5035,1,2,94.83
CARD_VISA_1630,24,3,94.72
CARD_VISA_2351,61,6,94.66
CARD_VISA_5561,4,7,94.64
GUEST_ORDER_6ca876b0-afe4-4820-ada7-e3ecbe3296bf,55,1,94.42
CARD_VISA_8363,90,3,94.31
CARD_AMEX_9431,8,6,94.29
CARD_VISA_9989,3,12,93.89
CARD_DISCOVER_2305,18,7,93.83
CARD_VISA_9589,18,7,93.77
CARD_VISA_5387,18,5,93.67
GUEST_ORDER_3551004d-b0b3-4be7-b10b-2e24c915cf5f,57,1,93.54
CARD_MASTERCARD_5541,20,8,93.51
CARD_VISA_4067,1,11,93.49000000000001
CARD_MASTERCARD_5589,62,5,93.25
CARD_VISA_9612,41,8,93.13
CARD_VISA_5221,32,5,93.13
CARD_AMEX_5031,8,3,93.13
CARD_VISA_7322,4,10,93.08
CARD_VISA_5733,12,5,92.97999999999999
CARD_VISA_2106,20,3,92.91
LOYALTY_4a490fb5-e1f9-4116-89a9-9f7ebf843178,28,6,92.75
CARD_VISA_1786,12,11,92.68
CARD_VISA_1395,18,6,92.21000000000001
CARD_MASTERCARD_6165,69,2,92.11
CARD_VISA_0748,1,9,92.1
LOYALTY_4f57b488-f88d-4a21-89ac-b8fe9719ed37,23,6,92.03
LOYALTY_37d43eb9-2e8e-41cf-9086-6eabf4c3ad2e,59,3,91.92
CARD_AMEX_3002,6,7,91.9
LOYALTY_56a9f6f3-9224-4a41-bec2-bcd19d176f46,14,3,91.81
CARD_VISA_7686,24,5,91.8
CARD_VISA_9272,13,5,91.78
CARD_VISA_3763,44,5,91.77
CARD_VISA_9671,5,10,91.73
CARD_VISA_5020,3,4,91.68
